tick;positiveVolume [MW];negativeVolume [MW]
827;4155;4332
828;4155;4332
829;4155;4332
830;4155;4332
831;4155;4332
832;4155;4332
833;4155;4332
834;4155;4332
835;4155;4332
836;4155;4332
837;4155;4332
838;4155;4332
839;4155;4332
840;4155;4332
841;4155;4332
842;4155;4332
843;4155;4332
844;4155;4332
845;4155;4332
846;4155;4332
847;4155;4332
848;4155;4332
849;4155;4332
850;4155;4332
851;4155;4332
852;4155;4332
853;4155;4332
854;4155;4332
855;4155;4332
856;4155;4332
857;4155;4332
858;4155;4332
859;4155;4332
860;4155;4332
861;4155;4332
862;4155;4332
863;4155;4332
864;4155;4332
865;4155;4332
866;4155;4332
867;4155;4332
868;4155;4332
869;4155;4332
870;4155;4332
871;4155;4332
872;4155;4332
873;4155;4332
874;4155;4332
875;4155;4332
876;4155;4332
877;4155;4332
878;4155;4332
879;4155;4332
880;4155;4332
881;4155;4332
882;4155;4332
883;4155;4332
884;4155;4332
885;4155;4332
886;4155;4332
887;4155;4332
888;4155;4332
889;4155;4332
890;4155;4332
891;4155;4332
892;4155;4332
893;4155;4332
894;4155;4332
895;4155;4332
896;4155;4332
897;4155;4332
898;4155;4332
899;4155;4332
900;4155;4332
901;4155;4332
902;4155;4332
903;4155;4332
904;4155;4332
905;4155;4332
906;4155;4332
907;4155;4332
908;4155;4332
909;4155;4332
910;4155;4332
911;4155;4332
912;4155;4332
913;4155;4332
914;4155;4332
915;4155;4332
916;4155;4332
917;4155;4332
918;4155;4332
919;4155;4332
920;4155;4332
921;4155;4332
922;4155;4332
923;4155;4332
924;4155;4332
925;4155;4332
926;4155;4332
927;4155;4332
928;4155;4332
929;4155;4332
930;4155;4332
931;4155;4332
932;4155;4332
933;4155;4332
934;4155;4332
935;4155;4332
936;4155;4332
937;4155;4332
938;4155;4332
939;4155;4332
940;4155;4332
941;4155;4332
942;4155;4332
943;4155;4332
944;4155;4332
945;4155;4332
946;4155;4332
947;4155;4332
948;4155;4332
949;4155;4332
950;4155;4332
951;4155;4332
952;4155;4332
953;4155;4332
954;4155;4332
955;4155;4332
956;4155;4332
957;4155;4332
958;4155;4332
959;4155;4332
960;4155;4332
961;4155;4332
962;4155;4332
963;4155;4332
964;4155;4332
965;4155;4332
966;4155;4332
967;4155;4332
968;4155;4332
969;4155;4332
970;4155;4332
971;4155;4332
972;4155;4332
973;4155;4332
974;4155;4332
975;4155;4332
976;4155;4332
977;4155;4332
978;4155;4332
979;4155;4332
980;4155;4332
981;4155;4332
982;4155;4332
983;4155;4332
984;4155;4332
985;4155;4332
986;4155;4332
987;4155;4332
988;4155;4332
989;4155;4332
990;4155;4332
991;4155;4332
992;4155;4332
993;4155;4332
994;4155;4332
995;4155;4332
996;4155;4332
997;4155;4332
998;4155;4332
999;4155;4332
1000;4155;4332
1001;4155;4332
1002;4155;4332
1003;4155;4332
1004;4155;4332
1005;4155;4332
1006;4155;4332
1007;4155;4332
1008;4155;4332
1009;4155;4332
1010;4155;4332
1011;4155;4332
1012;4155;4332
1013;4155;4332
1014;4155;4332
1015;4155;4332
1016;4155;4332
1017;4155;4332
1018;4155;4332
1019;4155;4332
1020;4155;4332
1021;4155;4332
1022;4155;4332
1023;4155;4332
1024;4155;4332
1025;4155;4332
1026;4155;4332
1027;4155;4332
1028;4155;4332
1029;4155;4332
1030;4155;4332
1031;4155;4332
1032;4155;4332
1033;4155;4332
1034;4155;4332
1035;4155;4332
1036;4155;4332
1037;4155;4332
1038;4155;4332
1039;4155;4332
1040;4155;4332
1041;4155;4332
1042;4155;4332
1043;4155;4332
1044;4155;4332
1045;4155;4332
1046;4155;4332
1047;4155;4332
1048;4155;4332
1049;4155;4332
1050;4155;4332
1051;4155;4332
1052;4155;4332
1053;4155;4332
1054;4155;4332
1055;4155;4332
1056;4155;4332
1057;4155;4332
1058;4155;4332
1059;4155;4332
1060;4155;4332
1061;4155;4332
1062;4155;4332
1063;4155;4332
1064;4155;4332
1065;4155;4332
1066;4155;4332
1067;4155;4332
1068;4155;4332
1069;4155;4332
1070;4155;4332
1071;4155;4332
1072;4155;4332
1073;4155;4332
1074;4155;4332
1075;4155;4332
1076;4155;4332
1077;4155;4332
1078;4155;4332
1079;4155;4332
1080;4155;4332
1081;4155;4332
1082;4155;4332
1083;4155;4332
1084;4155;4332
1085;4155;4332
1086;4155;4332
1087;4155;4332
1088;4155;4332
1089;4155;4332
1090;4155;4332
1091;4155;4332
1092;4155;4332
1093;4155;4332
1094;4155;4332
1095;4155;4332
1096;4155;4332
1097;4155;4332
1098;4155;4332
1099;4155;4332
1100;4155;4332
1101;4155;4332
1102;4155;4332
1103;4155;4332
1104;4155;4332
1105;4155;4332
1106;4155;4332
1107;4155;4332
1108;4155;4332
1109;4155;4332
1110;4155;4332
1111;4155;4332
1112;4155;4332
1113;4155;4332
1114;4155;4332
1115;4155;4332
1116;4155;4332
1117;4155;4332
1118;4155;4332
1119;4155;4332
1120;4155;4332
1121;4155;4332
1122;4155;4332
1123;4155;4332
1124;4155;4332
1125;4155;4332
1126;4155;4332
1127;4155;4332
1128;4155;4332
1129;4155;4332
1130;4155;4332
1131;4155;4332
1132;4155;4332
1133;4155;4332
1134;4155;4332
1135;4155;4332
1136;4155;4332
1137;4155;4332
1138;4155;4332
1139;4155;4332
1140;4155;4332
1141;4155;4332
1142;4155;4332
1143;4155;4332
1144;4155;4332
1145;4155;4332
1146;4155;4332
1147;4155;4332
1148;4155;4332
1149;4155;4332
1150;4155;4332
1151;4155;4332
1152;4155;4332
1153;4155;4332
1154;4155;4332
1155;4155;4332
1156;4155;4332
1157;4155;4332
1158;4155;4332
1159;4155;4332
1160;4155;4332
1161;4155;4332
1162;4155;4332
1163;4155;4332
1164;4155;4332
1165;4155;4332
1166;4155;4332
1167;4155;4332
1168;4155;4332
1169;4155;4332
1170;4155;4332
1171;4155;4332
1172;4155;4332
1173;4155;4332
1174;4155;4332
1175;4155;4332
1176;4155;4332
1177;4155;4332
1178;4155;4332
1179;4155;4332
1180;4155;4332
1181;4155;4332
1182;4155;4332
1183;4155;4332
1184;4155;4332
1185;4155;4332
1186;4155;4332
1187;4155;4332
1188;4155;4332
1189;4155;4332
1190;4155;4332
1191;4155;4332
1192;4155;4332
1193;4155;4332
1194;4155;4332
1195;4155;4332
1196;4155;4332
1197;4155;4332
1198;4155;4332
1199;4155;4332
1200;4155;4332
1201;4155;4332
1202;4155;4332
1203;4155;4332
1204;4155;4332
1205;4155;4332
1206;4155;4332
1207;4155;4332
1208;4155;4332
1209;4155;4332
1210;4155;4332
1211;4155;4332
1212;4155;4332
1213;4155;4332
1214;4155;4332
1215;4155;4332
